"date";"target"
"2020-03-03";"1"
"2020-03-04";"0"
"2020-03-05";"0"
"2020-03-06";"1"
"2020-03-07";"6"
"2020-03-08";"4"
"2020-03-09";"0"
"2020-03-10";"5"
"2020-03-11";"2"
"2020-03-12";"0"
"2020-03-13";"12"
"2020-03-14";"3"
"2020-03-15";"11"
"2020-03-16";"11"
"2020-03-17";"12"
"2020-03-18";"11"
"2020-03-19";"18"
"2020-03-20";"31"
"2020-03-21";"30"
"2020-03-22";"108"
"2020-03-23";"35"
"2020-03-24";"86"
"2020-03-25";"0"
"2020-03-26";"115"
"2020-03-27";"87"
"2020-03-28";"101"
"2020-03-29";"55"
"2020-03-30";"75"
"2020-03-31";"234"
"2020-04-01";"0"
"2020-04-02";"79"
"2020-04-03";"132"
