"date";"target"
"2020-01-31";"2"
"2020-02-01";"0"
"2020-02-02";"0"
"2020-02-03";"0"
"2020-02-04";"0"
"2020-02-05";"0"
"2020-02-06";"0"
"2020-02-07";"1"
"2020-02-08";"0"
"2020-02-09";"0"
"2020-02-10";"0"
"2020-02-11";"0"
"2020-02-12";"0"
"2020-02-13";"0"
"2020-02-14";"0"
"2020-02-15";"0"
"2020-02-16";"0"
"2020-02-17";"0"
"2020-02-18";"0"
"2020-02-19";"0"
"2020-02-20";"0"
"2020-02-21";"17"
"2020-02-22";"42"
"2020-02-23";"93"
"2020-02-24";"74"
"2020-02-25";"93"
"2020-02-26";"131"
"2020-02-27";"202"
"2020-02-28";"233"
"2020-02-29";"240"
"2020-03-01";"566"
"2020-03-02";"342"
"2020-03-03";"466"
"2020-03-04";"587"
"2020-03-05";"769"
"2020-03-06";"778"
"2020-03-07";"1247"
"2020-03-08";"1492"
"2020-03-09";"1797"
"2020-03-10";"977"
"2020-03-11";"2313"
"2020-03-12";"0"
"2020-03-13";"5198"
"2020-03-14";"3497"
"2020-03-15";"3590"
"2020-03-16";"3233"
"2020-03-17";"3526"
"2020-03-18";"4207"
"2020-03-19";"5322"
"2020-03-20";"5986"
"2020-03-21";"6557"
"2020-03-22";"5560"
"2020-03-23";"4789"
"2020-03-24";"5249"
"2020-03-25";"5210"
"2020-03-26";"6203"
"2020-03-27";"5909"
"2020-03-28";"5974"
"2020-03-29";"5217"
"2020-03-30";"4050"
"2020-03-31";"4053"
"2020-04-01";"4782"
"2020-04-02";"4668"
"2020-04-03";"4585"
