"date";"target"
"2020-02-01";"1"
"2020-02-02";"0"
"2020-02-03";"0"
"2020-02-04";"0"
"2020-02-05";"0"
"2020-02-06";"0"
"2020-02-07";"0"
"2020-02-08";"0"
"2020-02-09";"1"
"2020-02-10";"0"
"2020-02-11";"0"
"2020-02-12";"0"
"2020-02-13";"0"
"2020-02-14";"0"
"2020-02-15";"0"
"2020-02-16";"0"
"2020-02-17";"0"
"2020-02-18";"0"
"2020-02-19";"0"
"2020-02-20";"0"
"2020-02-21";"0"
"2020-02-22";"0"
"2020-02-23";"0"
"2020-02-24";"0"
"2020-02-25";"4"
"2020-02-26";"7"
"2020-02-27";"2"
"2020-02-28";"17"
"2020-02-29";"13"
"2020-03-01";"39"
"2020-03-02";"36"
"2020-03-03";"45"
"2020-03-04";"57"
"2020-03-05";"37"
"2020-03-06";"141"
"2020-03-07";"100"
"2020-03-08";"173"
"2020-03-09";"400"
"2020-03-10";"622"
"2020-03-11";"582"
"2020-03-12";"0"
"2020-03-13";"2955"
"2020-03-14";"1159"
"2020-03-15";"1407"
"2020-03-16";"2144"
"2020-03-17";"1806"
"2020-03-18";"2162"
"2020-03-19";"4053"
"2020-03-20";"2447"
"2020-03-21";"4964"
"2020-03-22";"3394"
"2020-03-23";"6368"
"2020-03-24";"4749"
"2020-03-25";"9630"
"2020-03-26";"8271"
"2020-03-27";"7933"
"2020-03-28";"7516"
"2020-03-29";"6875"
"2020-03-30";"7846"
"2020-03-31";"7967"
"2020-04-01";"8195"
"2020-04-02";"7947"
"2020-04-03";"7134"
