"date";"target"
"2020-01-27";"1"
"2020-01-28";"3"
"2020-01-29";"0"
"2020-01-30";"0"
"2020-01-31";"1"
"2020-02-01";"3"
"2020-02-02";"2"
"2020-02-03";"2"
"2020-02-04";"0"
"2020-02-05";"0"
"2020-02-06";"0"
"2020-02-07";"1"
"2020-02-08";"0"
"2020-02-09";"1"
"2020-02-10";"0"
"2020-02-11";"2"
"2020-02-12";"0"
"2020-02-13";"0"
"2020-02-14";"0"
"2020-02-15";"0"
"2020-02-16";"0"
"2020-02-17";"0"
"2020-02-18";"0"
"2020-02-19";"0"
"2020-02-20";"0"
"2020-02-21";"0"
"2020-02-22";"0"
"2020-02-23";"0"
"2020-02-24";"0"
"2020-02-25";"1"
"2020-02-26";"10"
"2020-02-27";"19"
"2020-02-28";"2"
"2020-02-29";"31"
"2020-03-01";"51"
"2020-03-02";"29"
"2020-03-03";"37"
"2020-03-04";"66"
"2020-03-05";"220"
"2020-03-06";"188"
"2020-03-07";"129"
"2020-03-08";"241"
"2020-03-09";"136"
"2020-03-10";"281"
"2020-03-11";"451"
"2020-03-12";"170"
"2020-03-13";"1597"
"2020-03-14";"910"
"2020-03-15";"1210"
"2020-03-16";"1477"
"2020-03-17";"1985"
"2020-03-18";"3070"
"2020-03-19";"2993"
"2020-03-20";"4528"
"2020-03-21";"2365"
"2020-03-22";"2660"
"2020-03-23";"4183"
"2020-03-24";"3930"
"2020-03-25";"4337"
"2020-03-26";"6615"
"2020-03-27";"6933"
"2020-03-28";"6824"
"2020-03-29";"4400"
"2020-03-30";"4790"
"2020-03-31";"4923"
"2020-04-01";"6064"
"2020-04-02";"6922"
"2020-04-03";"6365"
