"date";"target"
"2020-01-30";"1"
"2020-01-31";"0"
"2020-02-01";"0"
"2020-02-02";"1"
"2020-02-03";"1"
"2020-02-04";"0"
"2020-02-05";"0"
"2020-02-06";"0"
"2020-02-07";"0"
"2020-02-08";"0"
"2020-02-09";"0"
"2020-02-10";"0"
"2020-02-11";"0"
"2020-02-12";"0"
"2020-02-13";"0"
"2020-02-14";"0"
"2020-02-15";"0"
"2020-02-16";"0"
"2020-02-17";"0"
"2020-02-18";"0"
"2020-02-19";"0"
"2020-02-20";"0"
"2020-02-21";"0"
"2020-02-22";"0"
"2020-02-23";"0"
"2020-02-24";"0"
"2020-02-25";"0"
"2020-02-26";"0"
"2020-02-27";"0"
"2020-02-28";"0"
"2020-02-29";"0"
"2020-03-01";"0"
"2020-03-02";"2"
"2020-03-03";"0"
"2020-03-04";"23"
"2020-03-05";"2"
"2020-03-06";"1"
"2020-03-07";"3"
"2020-03-08";"5"
"2020-03-09";"4"
"2020-03-10";"13"
"2020-03-11";"6"
"2020-03-12";"11"
"2020-03-13";"9"
"2020-03-14";"20"
"2020-03-15";"11"
"2020-03-16";"6"
"2020-03-17";"23"
"2020-03-18";"14"
"2020-03-19";"38"
"2020-03-20";"50"
"2020-03-21";"86"
"2020-03-22";"66"
"2020-03-23";"103"
"2020-03-24";"37"
"2020-03-25";"121"
"2020-03-26";"70"
"2020-03-27";"160"
"2020-03-28";"100"
"2020-03-29";"37"
"2020-03-30";"227"
"2020-03-31";"146"
"2020-04-01";"601"
"2020-04-02";"545"
"2020-04-03";"24"
