"date";"target"
"2020-02-19";"2"
"2020-02-20";"3"
"2020-02-21";"13"
"2020-02-22";"10"
"2020-02-23";"15"
"2020-02-24";"18"
"2020-02-25";"34"
"2020-02-26";"44"
"2020-02-27";"106"
"2020-02-28";"143"
"2020-02-29";"205"
"2020-03-01";"385"
"2020-03-02";"523"
"2020-03-03";"835"
"2020-03-04";"586"
"2020-03-05";"591"
"2020-03-06";"1234"
"2020-03-07";"1076"
"2020-03-08";"743"
"2020-03-09";"595"
"2020-03-10";"881"
"2020-03-11";"958"
"2020-03-12";"1075"
"2020-03-13";"1289"
"2020-03-14";"1365"
"2020-03-15";"1209"
"2020-03-16";"1053"
"2020-03-17";"1178"
"2020-03-18";"1192"
"2020-03-19";"1046"
"2020-03-20";"1237"
"2020-03-21";"966"
"2020-03-22";"1028"
"2020-03-23";"1411"
"2020-03-24";"1762"
"2020-03-25";"2206"
"2020-03-26";"2389"
"2020-03-27";"2926"
"2020-03-28";"3076"
"2020-03-29";"2901"
"2020-03-30";"3186"
"2020-03-31";"3110"
"2020-04-01";"2988"
"2020-04-02";"2875"
"2020-04-03";"2715"
