"date";"target"
"2020-01-22";"1"
"2020-01-23";"0"
"2020-01-24";"1"
"2020-01-25";"0"
"2020-01-26";"3"
"2020-01-27";"0"
"2020-01-28";"0"
"2020-01-29";"0"
"2020-01-30";"0"
"2020-01-31";"2"
"2020-02-01";"1"
"2020-02-02";"0"
"2020-02-03";"3"
"2020-02-04";"0"
"2020-02-05";"0"
"2020-02-06";"0"
"2020-02-07";"0"
"2020-02-08";"0"
"2020-02-09";"0"
"2020-02-10";"0"
"2020-02-11";"1"
"2020-02-12";"0"
"2020-02-13";"1"
"2020-02-14";"0"
"2020-02-15";"0"
"2020-02-16";"0"
"2020-02-17";"0"
"2020-02-18";"0"
"2020-02-19";"0"
"2020-02-20";"0"
"2020-02-21";"2"
"2020-02-22";"0"
"2020-02-23";"0"
"2020-02-24";"36"
"2020-02-25";"0"
"2020-02-26";"6"
"2020-02-27";"1"
"2020-02-28";"2"
"2020-02-29";"8"
"2020-03-01";"6"
"2020-03-02";"24"
"2020-03-03";"20"
"2020-03-04";"31"
"2020-03-05";"68"
"2020-03-06";"45"
"2020-03-07";"140"
"2020-03-08";"116"
"2020-03-09";"65"
"2020-03-10";"376"
"2020-03-11";"322"
"2020-03-12";"382"
"2020-03-13";"516"
"2020-03-14";"548"
"2020-03-15";"772"
"2020-03-16";"1133"
"2020-03-17";"1789"
"2020-03-18";"1362"
"2020-03-19";"5894"
"2020-03-20";"5423"
"2020-03-21";"6389"
"2020-03-22";"7787"
"2020-03-23";"10571"
"2020-03-24";"9893"
"2020-03-25";"12038"
"2020-03-26";"18058"
"2020-03-27";"17821"
"2020-03-28";"19821"
"2020-03-29";"19408"
"2020-03-30";"20921"
"2020-03-31";"26365"
"2020-04-01";"25200"
"2020-04-02";"30081"
"2020-04-03";"32133"
