"date";"target"
"2020-01-24";"2"
"2020-01-25";"1"
"2020-01-26";"0"
"2020-01-27";"0"
"2020-01-28";"1"
"2020-01-29";"1"
"2020-01-30";"0"
"2020-01-31";"0"
"2020-02-01";"1"
"2020-02-02";"0"
"2020-02-03";"0"
"2020-02-04";"0"
"2020-02-05";"0"
"2020-02-06";"0"
"2020-02-07";"0"
"2020-02-08";"5"
"2020-02-09";"0"
"2020-02-10";"0"
"2020-02-11";"0"
"2020-02-12";"0"
"2020-02-13";"0"
"2020-02-14";"0"
"2020-02-15";"1"
"2020-02-16";"0"
"2020-02-17";"0"
"2020-02-18";"0"
"2020-02-19";"0"
"2020-02-20";"0"
"2020-02-21";"0"
"2020-02-22";"0"
"2020-02-23";"0"
"2020-02-24";"0"
"2020-02-25";"2"
"2020-02-26";"4"
"2020-02-27";"20"
"2020-02-28";"19"
"2020-02-29";"43"
"2020-03-01";"30"
"2020-03-02";"61"
"2020-03-03";"13"
"2020-03-04";"84"
"2020-03-05";"92"
"2020-03-06";"276"
"2020-03-07";"303"
"2020-03-08";"177"
"2020-03-09";"83"
"2020-03-10";"575"
"2020-03-11";"499"
"2020-03-12";"0"
"2020-03-13";"1388"
"2020-03-14";"815"
"2020-03-15";"36"
"2020-03-16";"2151"
"2020-03-17";"1032"
"2020-03-18";"1409"
"2020-03-19";"1846"
"2020-03-20";"1788"
"2020-03-21";"1705"
"2020-03-22";"1780"
"2020-03-23";"3880"
"2020-03-24";"2499"
"2020-03-25";"2978"
"2020-03-26";"3951"
"2020-03-27";"3851"
"2020-03-28";"4703"
"2020-03-29";"2603"
"2020-03-30";"4462"
"2020-03-31";"7657"
"2020-04-01";"4922"
"2020-04-02";"2180"
"2020-04-03";"5273"
"2020-04-04";"25646"
