"date";"target"
"2020-01-31";"2"
"2020-02-01";"0"
"2020-02-02";"0"
"2020-02-03";"0"
"2020-02-04";"0"
"2020-02-05";"0"
"2020-02-06";"0"
"2020-02-07";"1"
"2020-02-08";"0"
"2020-02-09";"0"
"2020-02-10";"5"
"2020-02-11";"0"
"2020-02-12";"1"
"2020-02-13";"0"
"2020-02-14";"0"
"2020-02-15";"0"
"2020-02-16";"0"
"2020-02-17";"0"
"2020-02-18";"0"
"2020-02-19";"0"
"2020-02-20";"0"
"2020-02-21";"0"
"2020-02-22";"0"
"2020-02-23";"0"
"2020-02-24";"4"
"2020-02-25";"0"
"2020-02-26";"0"
"2020-02-27";"2"
"2020-02-28";"5"
"2020-02-29";"3"
"2020-03-01";"13"
"2020-03-02";"4"
"2020-03-03";"11"
"2020-03-04";"35"
"2020-03-05";"30"
"2020-03-06";"48"
"2020-03-07";"43"
"2020-03-08";"67"
"2020-03-09";"48"
"2020-03-10";"62"
"2020-03-11";"75"
"2020-03-12";"0"
"2020-03-13";"343"
"2020-03-14";"342"
"2020-03-15";"1"
"2020-03-16";"406"
"2020-03-17";"409"
"2020-03-18";"682"
"2020-03-19";"74"
"2020-03-20";"1298"
"2020-03-21";"1053"
"2020-03-22";"678"
"2020-03-23";"981"
"2020-03-24";"1438"
"2020-03-25";"1476"
"2020-03-26";"2172"
"2020-03-27";"2933"
"2020-03-28";"2567"
"2020-03-29";"2468"
"2020-03-30";"2673"
"2020-03-31";"3028"
"2020-04-01";"4384"
"2020-04-02";"4308"
"2020-04-03";"4516"
"2020-04-04";"3788"
