"date";"target"
"2020-02-24";"1"
"2020-02-25";"0"
"2020-02-26";"0"
"2020-02-27";"0"
"2020-02-28";"0"
"2020-02-29";"0"
"2020-03-01";"0"
"2020-03-02";"0"
"2020-03-03";"0"
"2020-03-04";"0"
"2020-03-05";"0"
"2020-03-06";"0"
"2020-03-07";"0"
"2020-03-08";"3"
"2020-03-09";"0"
"2020-03-10";"1"
"2020-03-11";"2"
"2020-03-12";"0"
"2020-03-13";"0"
"2020-03-14";"4"
"2020-03-15";"5"
"2020-03-16";"5"
"2020-03-17";"1"
"2020-03-18";"0"
"2020-03-19";"0"
"2020-03-20";"2"
"2020-03-21";"0"
"2020-03-22";"16"
"2020-03-23";"0"
"2020-03-24";"34"
"2020-03-25";"10"
"2020-03-26";"10"
"2020-03-27";"16"
"2020-03-28";"0"
"2020-03-29";"10"
"2020-03-30";"50"
"2020-03-31";"4"
"2020-04-01";"63"
"2020-04-02";"36"
"2020-04-03";"8"
"2020-04-04";"18"
"2020-04-05";"50"
"2020-04-06";"18"
