"date";"target"
"2020-01-26";"4"
"2020-01-27";"1"
"2020-01-28";"0"
"2020-01-29";"1"
"2020-01-30";"3"
"2020-01-31";"0"
"2020-02-01";"3"
"2020-02-02";"0"
"2020-02-03";"0"
"2020-02-04";"1"
"2020-02-05";"0"
"2020-02-06";"1"
"2020-02-07";"1"
"2020-02-08";"0"
"2020-02-09";"0"
"2020-02-10";"0"
"2020-02-11";"0"
"2020-02-12";"0"
"2020-02-13";"0"
"2020-02-14";"0"
"2020-02-15";"0"
"2020-02-16";"0"
"2020-02-17";"0"
"2020-02-18";"0"
"2020-02-19";"0"
"2020-02-20";"0"
"2020-02-21";"0"
"2020-02-22";"0"
"2020-02-23";"0"
"2020-02-24";"0"
"2020-02-25";"0"
"2020-02-26";"0"
"2020-02-27";"0"
"2020-02-28";"0"
"2020-02-29";"10"
"2020-03-01";"2"
"2020-03-02";"3"
"2020-03-03";"9"
"2020-03-04";"13"
"2020-03-05";"3"
"2020-03-06";"5"
"2020-03-07";"3"
"2020-03-08";"13"
"2020-03-09";"15"
"2020-03-10";"16"
"2020-03-11";"21"
"2020-03-12";"0"
"2020-03-13";"72"
"2020-03-14";"50"
"2020-03-15";"47"
"2020-03-16";"80"
"2020-03-17";"75"
"2020-03-18";"116"
"2020-03-19";"113"
"2020-03-20";"110"
"2020-03-21";"280"
"2020-03-22";"478"
"2020-03-23";"133"
"2020-03-24";"362"
"2020-03-25";"320"
"2020-03-26";"446"
"2020-03-27";"333"
"2020-03-28";"497"
"2020-03-29";"344"
"2020-03-30";"377"
"2020-03-31";"198"
"2020-04-01";"303"
"2020-04-02";"254"
"2020-04-03";"214"
"2020-04-04";"220"
"2020-04-05";"137"
"2020-04-06";"110"
