"date";"target"
"2020-02-26";"1"
"2020-02-27";"0"
"2020-02-28";"0"
"2020-02-29";"1"
"2020-03-01";"0"
"2020-03-02";"0"
"2020-03-03";"0"
"2020-03-04";"2"
"2020-03-05";"0"
"2020-03-06";"9"
"2020-03-07";"0"
"2020-03-08";"7"
"2020-03-09";"5"
"2020-03-10";"6"
"2020-03-11";"7"
"2020-03-12";"14"
"2020-03-13";"99"
"2020-03-14";"0"
"2020-03-15";"11"
"2020-03-16";"38"
"2020-03-17";"121"
"2020-03-18";"51"
"2020-03-19";"249"
"2020-03-20";"172"
"2020-03-21";"228"
"2020-03-22";"525"
"2020-03-23";"378"
"2020-03-24";"323"
"2020-03-25";"307"
"2020-03-26";"431"
"2020-03-27";"432"
"2020-03-28";"487"
"2020-03-29";"352"
"2020-03-30";"323"
"2020-03-31";"1138"
"2020-04-01";"1119"
"2020-04-02";"1208"
"2020-04-03";"1012"
"2020-04-04";"1304"
"2020-04-05";"770"
"2020-04-06";"1031"
"2020-04-07";"1873"
