"date";"target"
"2020-03-15";"1"
"2020-03-16";"0"
"2020-03-17";"0"
"2020-03-18";"0"
"2020-03-19";"2"
"2020-03-20";"0"
"2020-03-21";"8"
"2020-03-22";"15"
"2020-03-23";"6"
"2020-03-24";"15"
"2020-03-25";"7"
"2020-03-26";"13"
"2020-03-27";"14"
"2020-03-28";"30"
"2020-03-29";"29"
"2020-03-30";"11"
"2020-03-31";"24"
"2020-04-01";"25"
"2020-04-02";"29"
"2020-04-03";"31"
"2020-04-04";"51"
"2020-04-05";"106"
"2020-04-06";"115"
"2020-04-07";"104"
"2020-04-08";"168"
"2020-04-09";"95"
"2020-04-10";"82"
"2020-04-11";"69"
"2020-04-12";"156"
"2020-04-13";"69"
"2020-04-14";"209"
