"date";"target"
"2020-03-09";"2"
"2020-03-10";"8"
"2020-03-11";"2"
"2020-03-12";"11"
"2020-03-13";"10"
"2020-03-14";"5"
"2020-03-15";"4"
"2020-03-16";"9"
"2020-03-17";"4"
"2020-03-18";"4"
"2020-03-19";"5"
"2020-03-20";"6"
"2020-03-21";"6"
"2020-03-22";"13"
"2020-03-23";"15"
"2020-03-24";"19"
"2020-03-25";"23"
"2020-03-26";"28"
"2020-03-27";"12"
"2020-03-28";"11"
"2020-03-29";"15"
"2020-03-30";"11"
"2020-03-31";"20"
"2020-04-01";"16"
"2020-04-02";"18"
"2020-04-03";"27"
"2020-04-04";"29"
"2020-04-05";"28"
"2020-04-06";"16"
"2020-04-07";"6"
"2020-04-08";"17"
"2020-04-09";"9"
"2020-04-10";"7"
"2020-04-11";"17"
"2020-04-12";"13"
"2020-04-13";"21"
"2020-04-14";"8"
"2020-04-15";"19"
