"date";"target"
"2020-03-02";"1"
"2020-03-03";"0"
"2020-03-04";"0"
"2020-03-05";"0"
"2020-03-06";"0"
"2020-03-07";"0"
"2020-03-08";"0"
"2020-03-09";"0"
"2020-03-10";"0"
"2020-03-11";"0"
"2020-03-12";"0"
"2020-03-13";"0"
"2020-03-14";"0"
"2020-03-15";"0"
"2020-03-16";"1"
"2020-03-17";"37"
"2020-03-18";"0"
"2020-03-19";"14"
"2020-03-20";"22"
"2020-03-21";"13"
"2020-03-22";"25"
"2020-03-23";"20"
"2020-03-24";"31"
"2020-03-25";"24"
"2020-03-26";"36"
"2020-03-27";"43"
"2020-03-28";"41"
"2020-03-29";"26"
"2020-03-30";"36"
"2020-03-31";"6"
"2020-04-01";"14"
"2020-04-02";"38"
"2020-04-03";"11"
"2020-04-04";"27"
"2020-04-05";"35"
"2020-04-06";"24"
"2020-04-07";"20"
"2020-04-08";"19"
"2020-04-09";"19"
"2020-04-10";"18"
"2020-04-11";"0"
"2020-04-12";"37"
"2020-04-13";"8"
"2020-04-14";"13"
"2020-04-15";"14"
