"date";"target"
"2020-03-21";"1"
"2020-03-22";"1"
"2020-03-23";"0"
"2020-03-24";"6"
"2020-03-25";"0"
"2020-03-26";"2"
"2020-03-27";"3"
"2020-03-28";"1"
"2020-03-29";"2"
"2020-03-30";"7"
"2020-03-31";"8"
"2020-04-01";"21"
"2020-04-02";"19"
"2020-04-03";"10"
"2020-04-04";"7"
"2020-04-05";"8"
"2020-04-06";"37"
"2020-04-07";"39"
"2020-04-08";"58"
"2020-04-09";"43"
"2020-04-10";"20"
"2020-04-11";"51"
"2020-04-12";"54"
"2020-04-13";"47"
"2020-04-14";"33"
"2020-04-15";"152"
"2020-04-16";"65"
"2020-04-17";"102"
