"date";"target"
"2020-03-19";"3"
"2020-03-20";"4"
"2020-03-21";"2"
"2020-03-22";"2"
"2020-03-23";"0"
"2020-03-24";"6"
"2020-03-25";"6"
"2020-03-26";"1"
"2020-03-27";"1"
"2020-03-28";"0"
"2020-03-29";"9"
"2020-03-30";"8"
"2020-03-31";"0"
"2020-04-01";"1"
"2020-04-02";"0"
"2020-04-03";"3"
"2020-04-04";"0"
"2020-04-05";"2"
"2020-04-06";"2"
"2020-04-07";"0"
"2020-04-08";"4"
"2020-04-09";"8"
"2020-04-10";"8"
"2020-04-11";"2"
"2020-04-12";"5"
"2020-04-13";"13"
"2020-04-14";"9"
"2020-04-15";"2"
"2020-04-16";"9"
"2020-04-17";"25"
"2020-04-18";"7"
"2020-04-19";"21"
