"date";"target"
"2020-03-06";"1"
"2020-03-07";"1"
"2020-03-08";"0"
"2020-03-09";"0"
"2020-03-10";"0"
"2020-03-11";"0"
"2020-03-12";"0"
"2020-03-13";"0"
"2020-03-14";"0"
"2020-03-15";"0"
"2020-03-16";"0"
"2020-03-17";"1"
"2020-03-18";"0"
"2020-03-19";"27"
"2020-03-20";"3"
"2020-03-21";"8"
"2020-03-22";"8"
"2020-03-23";"14"
"2020-03-24";"13"
"2020-03-25";"8"
"2020-03-26";"20"
"2020-03-27";"11"
"2020-03-28";"12"
"2020-03-29";"27"
"2020-03-30";"22"
"2020-03-31";"37"
"2020-04-01";"33"
"2020-04-02";"21"
"2020-04-03";"15"
"2020-04-04";"50"
"2020-04-05";"69"
"2020-04-06";"30"
"2020-04-07";"25"
"2020-04-08";"41"
"2020-04-09";"62"
"2020-04-10";"45"
"2020-04-11";"31"
"2020-04-12";"38"
"2020-04-13";"50"
"2020-04-14";"36"
"2020-04-15";"48"
"2020-04-16";"144"
"2020-04-17";"108"
"2020-04-18";"134"
"2020-04-19";"37"
