"date";"target"
"2020-03-07";"1"
"2020-03-08";"0"
"2020-03-09";"0"
"2020-03-10";"0"
"2020-03-11";"1"
"2020-03-12";"0"
"2020-03-13";"0"
"2020-03-14";"4"
"2020-03-15";"2"
"2020-03-16";"5"
"2020-03-17";"9"
"2020-03-18";"4"
"2020-03-19";"16"
"2020-03-20";"45"
"2020-03-21";"13"
"2020-03-22";"17"
"2020-03-23";"16"
"2020-03-24";"27"
"2020-03-25";"0"
"2020-03-26";"40"
"2020-03-27";"30"
"2020-03-28";"30"
"2020-03-29";"29"
"2020-03-30";"23"
"2020-03-31";"20"
"2020-04-01";"23"
"2020-04-02";"15"
"2020-04-03";"32"
"2020-04-04";"52"
"2020-04-05";"14"
"2020-04-06";"5"
"2020-04-07";"19"
"2020-04-08";"17"
"2020-04-09";"18"
"2020-04-10";"28"
"2020-04-11";"24"
"2020-04-12";"35"
"2020-04-13";"24"
"2020-04-14";"13"
"2020-04-15";"31"
"2020-04-16";"34"
"2020-04-17";"30"
"2020-04-18";"16"
"2020-04-19";"65"
