"date";"target"
"2020-03-12";"6"
"2020-03-13";"0"
"2020-03-14";"0"
"2020-03-15";"0"
"2020-03-16";"0"
"2020-03-17";"0"
"2020-03-18";"7"
"2020-03-19";"10"
"2020-03-20";"9"
"2020-03-21";"11"
"2020-03-22";"7"
"2020-03-23";"6"
"2020-03-24";"9"
"2020-03-25";"16"
"2020-03-26";"21"
"2020-03-27";"17"
"2020-03-28";"14"
"2020-03-29";"15"
"2020-03-30";"7"
"2020-03-31";"24"
"2020-04-01";"45"
"2020-04-02";"28"
"2020-04-03";"49"
"2020-04-04";"94"
"2020-04-05";"43"
"2020-04-06";"20"
"2020-04-07";"45"
"2020-04-08";"36"
"2020-04-09";"70"
"2020-04-10";"34"
"2020-04-11";"33"
"2020-04-12";"62"
"2020-04-13";"18"
"2020-04-14";"35"
"2020-04-15";"12"
"2020-04-16";"29"
"2020-04-17";"42"
"2020-04-18";"71"
"2020-04-19";"42"
