"date";"target"
"2020-03-20";"1"
"2020-03-21";"0"
"2020-03-22";"2"
"2020-03-23";"0"
"2020-03-24";"0"
"2020-03-25";"2"
"2020-03-26";"0"
"2020-03-27";"1"
"2020-03-28";"0"
"2020-03-29";"0"
"2020-03-30";"0"
"2020-03-31";"2"
"2020-04-01";"1"
"2020-04-02";"1"
"2020-04-03";"0"
"2020-04-04";"1"
"2020-04-05";"1"
"2020-04-06";"2"
"2020-04-07";"4"
"2020-04-08";"0"
"2020-04-09";"10"
"2020-04-10";"4"
"2020-04-11";"1"
"2020-04-12";"2"
"2020-04-13";"7"
"2020-04-14";"22"
"2020-04-15";"5"
"2020-04-16";"7"
"2020-04-17";"16"
"2020-04-18";"18"
"2020-04-19";"18"
