"date";"target"
"2020-03-08";"1"
"2020-03-09";"0"
"2020-03-10";"0"
"2020-03-11";"0"
"2020-03-12";"0"
"2020-03-13";"1"
"2020-03-14";"0"
"2020-03-15";"0"
"2020-03-16";"3"
"2020-03-17";"2"
"2020-03-18";"8"
"2020-03-19";"14"
"2020-03-20";"6"
"2020-03-21";"3"
"2020-03-22";"45"
"2020-03-23";"45"
"2020-03-24";"2"
"2020-03-25";"3"
"2020-03-26";"20"
"2020-03-27";"36"
"2020-03-28";"16"
"2020-03-29";"26"
"2020-03-30";"30"
"2020-03-31";"14"
"2020-04-01";"39"
"2020-04-02";"56"
"2020-04-03";"27"
"2020-04-04";"33"
"2020-04-05";"68"
"2020-04-06";"27"
"2020-04-07";"34"
"2020-04-08";"55"
"2020-04-09";"41"
"2020-04-10";"43"
"2020-04-11";"52"
"2020-04-12";"56"
"2020-04-13";"9"
"2020-04-14";"69"
"2020-04-15";"19"
"2020-04-16";"55"
"2020-04-17";"63"
"2020-04-18";"56"
"2020-04-19";"77"
"2020-04-20";"35"
