"date";"target"
"2020-03-12";"2"
"2020-03-13";"0"
"2020-03-14";"0"
"2020-03-15";"0"
"2020-03-16";"0"
"2020-03-17";"14"
"2020-03-18";"0"
"2020-03-19";"12"
"2020-03-20";"2"
"2020-03-21";"0"
"2020-03-22";"7"
"2020-03-23";"5"
"2020-03-24";"0"
"2020-03-25";"4"
"2020-03-26";"2"
"2020-03-27";"8"
"2020-03-28";"12"
"2020-03-29";"5"
"2020-03-30";"5"
"2020-03-31";"9"
"2020-04-01";"8"
"2020-04-02";"11"
"2020-04-03";"30"
"2020-04-04";"40"
"2020-04-05";"25"
"2020-04-06";"22"
"2020-04-07";"129"
"2020-04-08";"49"
"2020-04-09";"154"
"2020-04-10";"129"
"2020-04-11";"132"
"2020-04-12";"144"
"2020-04-13";"194"
"2020-04-14";"130"
"2020-04-15";"200"
"2020-04-16";"199"
"2020-04-17";"323"
"2020-04-18";"187"
"2020-04-19";"266"
"2020-04-20";"231"
