"date";"target"
"2020-03-05";"1"
"2020-03-06";"0"
"2020-03-07";"1"
"2020-03-08";"1"
"2020-03-09";"0"
"2020-03-10";"5"
"2020-03-11";"5"
"2020-03-12";"3"
"2020-03-13";"0"
"2020-03-14";"6"
"2020-03-15";"2"
"2020-03-16";"7"
"2020-03-17";"2"
"2020-03-18";"12"
"2020-03-19";"20"
"2020-03-20";"44"
"2020-03-21";"10"
"2020-03-22";"67"
"2020-03-23";"47"
"2020-03-24";"72"
"2020-03-25";"65"
"2020-03-26";"51"
"2020-03-27";"72"
"2020-03-28";"65"
"2020-03-29";"42"
"2020-03-30";"57"
"2020-03-31";"51"
"2020-04-01";"124"
"2020-04-02";"160"
"2020-04-03";"82"
"2020-04-04";"172"
"2020-04-05";"148"
"2020-04-06";"67"
"2020-04-07";"227"
"2020-04-08";"250"
"2020-04-09";"278"
"2020-04-10";"248"
"2020-04-11";"143"
"2020-04-12";"248"
"2020-04-13";"376"
"2020-04-14";"179"
"2020-04-15";"333"
"2020-04-16";"201"
"2020-04-17";"405"
"2020-04-18";"194"
"2020-04-19";"222"
"2020-04-20";"134"
