"date";"target"
"2020-03-13";"2"
"2020-03-14";"2"
"2020-03-15";"2"
"2020-03-16";"1"
"2020-03-17";"0"
"2020-03-18";"3"
"2020-03-19";"10"
"2020-03-20";"1"
"2020-03-21";"30"
"2020-03-22";"6"
"2020-03-23";"11"
"2020-03-24";"39"
"2020-03-25";"2"
"2020-03-26";"13"
"2020-03-27";"27"
"2020-03-28";"35"
"2020-03-29";"10"
"2020-03-30";"3"
"2020-03-31";"22"
"2020-04-01";"16"
"2020-04-02";"12"
"2020-04-03";"34"
"2020-04-04";"53"
"2020-04-05";"23"
"2020-04-06";"22"
"2020-04-07";"38"
"2020-04-08";"40"
"2020-04-09";"44"
"2020-04-10";"192"
"2020-04-11";"39"
"2020-04-12";"36"
"2020-04-13";"9"
"2020-04-14";"49"
"2020-04-15";"27"
"2020-04-16";"31"
"2020-04-17";"42"
"2020-04-18";"36"
"2020-04-19";"13"
"2020-04-20";"50"
