"date";"target"
"2020-03-03";"1"
"2020-03-04";"0"
"2020-03-05";"0"
"2020-03-06";"1"
"2020-03-07";"6"
"2020-03-08";"4"
"2020-03-09";"0"
"2020-03-10";"5"
"2020-03-11";"2"
"2020-03-12";"0"
"2020-03-13";"12"
"2020-03-14";"3"
"2020-03-15";"11"
"2020-03-16";"11"
"2020-03-17";"12"
"2020-03-18";"11"
"2020-03-19";"18"
"2020-03-20";"31"
"2020-03-21";"30"
"2020-03-22";"108"
"2020-03-23";"35"
"2020-03-24";"86"
"2020-03-25";"0"
"2020-03-26";"115"
"2020-03-27";"87"
"2020-03-28";"101"
"2020-03-29";"55"
"2020-03-30";"75"
"2020-03-31";"234"
"2020-04-01";"0"
"2020-04-02";"79"
"2020-04-03";"132"
"2020-04-04";"186"
"2020-04-05";"0"
"2020-04-06";"103"
"2020-04-07";"74"
"2020-04-08";"87"
"2020-04-09";"80"
"2020-04-10";"180"
"2020-04-11";"0"
"2020-04-12";"167"
"2020-04-13";"66"
"2020-04-14";"69"
"2020-04-15";"166"
"2020-04-16";"128"
"2020-04-17";"98"
"2020-04-18";"89"
"2020-04-19";"81"
"2020-04-20";"102"
"2020-04-21";"90"
"2020-04-22";"113"
"2020-04-23";"291"
"2020-04-24";"172"
"2020-04-25";"173"
"2020-04-26";"112"
"2020-04-27";"111"
"2020-04-28";"124"
"2020-04-29";"158"
"2020-04-30";"143"
"2020-05-01";"104"
"2020-05-02";"149"
"2020-05-03";"102"
"2020-05-04";"104"
"2020-05-05";"133"
"2020-05-06";"188"
"2020-05-07";"163"
"2020-05-08";"240"
"2020-05-09";"165"
"2020-05-10";"258"
"2020-05-11";"244"
"2020-05-12";"285"
"2020-05-13";"316"
"2020-05-14";"255"
"2020-05-15";"345"
"2020-05-16";"326"
"2020-05-17";"263"
"2020-05-18";"303"
"2020-05-19";"438"
"2020-05-20";"474"
"2020-05-21";"648"
"2020-05-22";"718"
"2020-05-23";"704"
"2020-05-24";"723"
"2020-05-25";"552"
"2020-05-26";"600"
"2020-05-27";"705"
"2020-05-28";"769"
"2020-05-29";"717"
"2020-05-30";"795"
"2020-05-31";"637"
"2020-06-01";"564"
"2020-06-02";"904"
"2020-06-03";"949"
"2020-06-04";"929"
"2020-06-05";"840"
"2020-06-06";"983"
"2020-06-07";"774"
"2020-06-08";"826"
"2020-06-09";"1141"
"2020-06-10";"1226"
"2020-06-11";"1386"
"2020-06-12";"1391"
"2020-06-13";"1531"
"2020-06-14";"1282"
"2020-06-15";"1208"
"2020-06-16";"1374"
"2020-06-17";"1393"
"2020-06-18";"1958"
"2020-06-19";"2060"
"2020-06-20";"1634"
"2020-06-21";"1581"
"2020-06-22";"2146"
"2020-06-23";"2272"
"2020-06-24";"2648"
"2020-06-25";"2606"
"2020-06-26";"2886"
"2020-06-27";"2401"
"2020-06-28";"2189"
"2020-06-29";"2335"
"2020-06-30";"2262"
"2020-07-01";"2667"
"2020-07-02";"2744"
"2020-07-03";"2845"
"2020-07-04";"2590"
"2020-07-05";"2439"
"2020-07-06";"2632"
"2020-07-07";"2979"
"2020-07-08";"3604"
"2020-07-09";"3663"
"2020-07-10";"3367"
"2020-07-11";"3449"
"2020-07-12";"2657"
"2020-07-13";"3099"
"2020-07-14";"3645"
"2020-07-15";"4236"
"2020-07-16";"3637"
"2020-07-17";"4518"
"2020-07-18";"3223"
"2020-07-19";"4231"
"2020-07-20";"4019"
"2020-07-21";"5344"
"2020-07-22";"5782"
"2020-07-23";"6127"
"2020-07-24";"5493"
"2020-07-25";"4814"
"2020-07-26";"4192"
"2020-07-27";"4890"
"2020-07-28";"5939"
"2020-07-29";"5641"
"2020-07-30";"6377"
"2020-07-31";"5929"
"2020-08-01";"5241"
"2020-08-02";"5376"
"2020-08-03";"4824"
"2020-08-04";"6792"
"2020-08-05";"7147"
"2020-08-06";"7513"
"2020-08-07";"7482"
"2020-08-08";"6134"
"2020-08-09";"4688"
"2020-08-10";"7369"
"2020-08-11";"7043"
"2020-08-12";"7663"
"2020-08-13";"7498"
"2020-08-14";"6365"
"2020-08-15";"6663"
"2020-08-16";"5469"
"2020-08-17";"4557"
"2020-08-18";"6840"
"2020-08-19";"6693"
"2020-08-20";"8225"
"2020-08-21";"8159"
"2020-08-22";"7759"
"2020-08-23";"5352"
"2020-08-24";"8713"
"2020-08-25";"8771"
"2020-08-26";"10550"
"2020-08-27";"10104"
"2020-08-28";"11717"
"2020-08-29";"9230"
"2020-08-30";"7187"
"2020-08-31";"9309"
"2020-09-01";"10504"
"2020-09-02";"10933"
"2020-09-03";"12026"
"2020-09-04";"10684"
"2020-09-05";"9924"
"2020-09-06";"6986"
"2020-09-07";"9215"
"2020-09-08";"12027"
"2020-09-09";"12259"
"2020-09-10";"11905"
"2020-09-11";"11507"
"2020-09-12";"10776"
"2020-09-13";"9056"
"2020-09-14";"9909"
"2020-09-15";"11892"
"2020-09-16";"11674"
"2020-09-17";"12701"
"2020-09-18";"11945"
"2020-09-19";"9276"
"2020-09-20";"8431"
"2020-09-21";"8782"
"2020-09-22";"12027"
"2020-09-23";"12625"
"2020-09-24";"13467"
"2020-09-25";"12969"
"2020-09-26";"11249"
"2020-09-27";"8841"
"2020-09-28";"11807"
"2020-09-29";"13477"
"2020-09-30";"14392"
"2020-10-01";"14001"
"2020-10-02";"14687"
"2020-10-03";"11129"
"2020-10-04";"7668"
"2020-10-05";"11242"
"2020-10-06";"14740"
"2020-10-07";"16447"
"2020-10-08";"15454"
"2020-10-09";"15099"
"2020-10-10";"12414"
"2020-10-11";"10324"
"2020-10-12";"9524"
"2020-10-13";"13305"
"2020-10-14";"14932"
"2020-10-15";"17096"
"2020-10-16";"16546"
"2020-10-17";"13510"
"2020-10-18";"10561"
"2020-10-19";"12982"
"2020-10-20";"16337"
"2020-10-21";"18326"
"2020-10-22";"16325"
"2020-10-23";"15718"
"2020-10-24";"11968"
"2020-10-25";"9253"
"2020-10-26";"11712"
"2020-10-27";"14308"
"2020-10-28";"13924"
"2020-10-29";"13267"
"2020-10-30";"13379"
"2020-10-31";"9745"
"2020-11-01";"6609"
"2020-11-02";"9598"
"2020-11-03";"12145"
"2020-11-04";"10652"
"2020-11-05";"11100"
"2020-11-06";"11786"
"2020-11-07";"8037"
"2020-11-08";"5331"
"2020-11-09";"8317"
"2020-11-10";"11977"
"2020-11-11";"10880"
"2020-11-12";"11163"
"2020-11-13";"11859"
"2020-11-14";"8468"
"2020-11-15";"5645"
"2020-11-16";"7893"
"2020-11-17";"10621"
"2020-11-18";"10332"
"2020-11-19";"10097"
"2020-11-20";"9608"
"2020-11-21";"7140"
"2020-11-22";"4184"
"2020-11-23";"4265"
"2020-11-24";"7164"
