indice;date;nature;territory_name;territory_label;federator;populaction;propPopulation
1;2019;COUNTRY;Brazil;Brazil;Brazil;210147125;1
2;2019;STATE;Acre;AC;Brazil;881935;0.00419675
3;2019;STATE;Alagoas;AL;Brazil;3337357;0.01588105
4;2019;STATE;Amapá;AP;Brazil;845731;0.004024471
5;2019;STATE;Amazonas;AM;Brazil;4144597;0.019722359
6;2019;STATE;Bahia;BA;Brazil;14873064;0.07077453
7;2019;STATE;Ceará;CE;Brazil;9132078;0.043455641
8;2019;STATE;Distrito Federal;DF;Brazil;3015268;0.014348367
9;2019;STATE;Espírito Santo;ES;Brazil;4018650;0.019123031
10;2019;STATE;Goiás;GO;Brazil;7018354;0.033397335
11;2019;STATE;Maranhão;MA;Brazil;7075181;0.033667751
12;2019;STATE;Mato Grosso;MT;Brazil;3484466;0.016581079
13;2019;STATE;Mato Grosso do Sul;MS;Brazil;2778986;0.013224002
14;2019;STATE;Minas Gerais;MG;Brazil;21168791;0.100733193
15;2019;STATE;Pará;PA;Brazil;8602865;0.040937343
16;2019;STATE;Paraíba;PB;Brazil;4018127;0.019120542
17;2019;STATE;Paraná;PR;Brazil;11433957;0.054409295
18;2019;STATE;Pernambuco;PE;Brazil;9557071;0.045478
19;2019;STATE;Piauí;PI;Brazil;3273227;0.015575883
20;2019;STATE;Rio de Janeiro;RJ;Brazil;17264943;0.082156456
21;2019;STATE;Rio Grande do Norte;RN;Brazil;3506853;0.016687609
22;2019;STATE;Rio Grande do Sul;RS;Brazil;11377239;0.054139399
23;2019;STATE;Rondônia;RO;Brazil;1777225;0.008457051
24;2019;STATE;Roraima;RR;Brazil;605761;0.002882557
25;2019;STATE;Santa Catarina;SC;Brazil;7164788;0.034094152
26;2019;STATE;São Paulo;SP;Brazil;45919049;0.218509052
27;2019;STATE;Sergipe;SE;Brazil;2298696;0.010938508
28;2019;STATE;Tocantins;TO;Brazil;1572866;0.007484594
29;2020;COUNTRY;Brazil;Brazil;Brazil;212559417;
30;2020;STATE;Acre;AC;Brazil;892059;
31;2020;STATE;Alagoas;AL;Brazil;3375667;
32;2020;STATE;Amapá;AP;Brazil;855439;
33;2020;STATE;Amazonas;AM;Brazil;4192173;
34;2020;STATE;Bahia;BA;Brazil;15043793;
35;2020;STATE;Ceará;CE;Brazil;9236906;
36;2020;STATE;Distrito Federal;DF;Brazil;3049881;
37;2020;STATE;Espírito Santo;ES;Brazil;4064780;
38;2020;STATE;Goiás;GO;Brazil;7098918;
39;2020;STATE;Maranhão;MA;Brazil;7156398;
40;2020;STATE;Mato Grosso;MT;Brazil;3524464;
41;2020;STATE;Mato Grosso do Sul;MS;Brazil;2810886;
42;2020;STATE;Minas Gerais;MG;Brazil;21411789;
43;2020;STATE;Pará;PA;Brazil;8701618;
44;2020;STATE;Paraíba;PB;Brazil;4064251;
45;2020;STATE;Paraná;PR;Brazil;11565208;
46;2020;STATE;Pernambuco;PE;Brazil;9666777;
47;2020;STATE;Piauí;PI;Brazil;3310801;
48;2020;STATE;Rio de Janeiro;RJ;Brazil;17463128;
49;2020;STATE;Rio Grande do Norte;RN;Brazil;3547108;
50;2020;STATE;Rio Grande do Sul;RS;Brazil;11507839;
51;2020;STATE;Rondônia;RO;Brazil;1797626;
52;2020;STATE;Roraima;RR;Brazil;612715;
53;2020;STATE;Santa Catarina;SC;Brazil;7247033;
54;2020;STATE;São Paulo;SP;Brazil;46446157;
55;2020;STATE;Sergipe;SE;Brazil;2325083;
56;2020;STATE;Tocantins;TO;Brazil;1590921;
58;2020;COUNTRY;Argentina;Argentina;Argentina;45195774;
59;2020;COUNTRY;Bolivia;Bolivia;Bolivia;11673021;
60;2020;COUNTRY;Chile;Chile;Chile;19116201;
61;2020;COUNTRY;Colombia;Colombia;Colombia;50882891;
62;2020;COUNTRY;Ecuador;Ecuador;Ecuador;17643054;
63;2020;COUNTRY;Paraguay;Paraguay;Paraguay;7132538;
64;2020;COUNTRY;Peru;Peru;Peru;32971854;
65;2020;COUNTRY;Uruguay;Uruguay;Uruguay;3473730;
66;2020;COUNTRY;Venezuela;Venezuela;Venezuela;28435940;
67;2020;COUNTRY;India;India;India;1380004385;
68;2020;COUNTRY;Russia;Russia;Russia;145934462;
69;2020;COUNTRY;US;US;US;331002651;
#fonte: https://sidra.ibge.gov.br/tabela/6579;;;;;popEstado/popBrazil;;
#fonte: https://www.worldometers.info/population/countries-in-south-america-by-population/;;;;;;popPaises;
