"characteristic";"China_n_30";"China_n_50";"China";"Italy_n_30";"Italy_n_50";"Italy"
".cifrao.n.cifrao.";"30";"50";"69";"30";"50";"61"
".cifrao.Cum.sublinha.n.cifrao.";"75077";"80921";"82198";"1128";"47021";"105792"
".cifrao.TIP.cifrao.";"135634";"133339";"99916";"7973907";"94524";"234848"
".barra.hat.abreChave..barra.alpha.fechaChave..sublinha..abreChave.obs.fechaChave.";"1.92";"1.42";"2.71";"1.24";"1.04";"11.77"
".barra.hat.abreChave..barra.beta.fechaChave..sublinha..abreChave.obs.fechaChave.";"18.92";"11.88";"68.21";"5.76";"18.16";"99.95"
".barra.hat.abreChave..barra.lambda.fechaChave..sublinha..abreChave.obs.fechaChave.";"6e-02";"0";"0";"7.36";"0";"0"
".cifrao.date.sublinha.0.cifrao.";"2020-01-22";"2020-01-22";"2020-01-22";"2020-01-31";"2020-01-31";"2020-01-31"
".cifrao.date.sublinha.m.cifrao.";"2020-02-21";"2020-02-13";"2020-02-06";"2020-11-03, 2020-11-04";"2020-02-01";"2020-03-30"
".cifrao.date.sublinha..abreChave.end.fechaChave..cifrao.";"2020-10-28";"2021-01-06";"2020-05-14";"2021-09-07";"2020-09-27";"2020-07-07"
"RMSE";"2063.74";"2079.82";"1678.84";"2220.11";"2404.63";"1216.77"
"modellingTime";"2.84";"2.99";"3.38";"2.75";"3.05";"3.32"
