"characteristic";"Angola";"Australia";"Afghanistan"
".cifrao.n.cifrao.";"17";"68";"41"
".cifrao.Cum.sublinha.n.cifrao.";"14";"5116";"299"
".cifrao.TIP.cifrao.";"4849235";"23499";"2300024"
".barra.hat.abreChave..barra.alpha.fechaChave..sublinha..abreChave.obs.fechaChave.";"11.65";"15.18";"3"
".barra.hat.abreChave..barra.beta.fechaChave..sublinha..abreChave.obs.fechaChave.";"70.41";"96.81";"20.89"
".barra.hat.abreChave..barra.lambda.fechaChave..sublinha..abreChave.obs.fechaChave.";"2.23";"0.53";"21.02"
".cifrao.date.sublinha.0.cifrao.";"2020-03-20";"2020-01-26";"2020-02-24"
".cifrao.date.sublinha.m.cifrao.";"2020-06-14, 2020-06-15";"2020-04-13, 2020-04-14";"2020-10-13"
".cifrao.date.sublinha..abreChave.end.fechaChave..cifrao.";"2020-11-15";"2020-07-12";"2021-06-13"
"RMSE";"0.84";"60.51";"10.62"
"modellingTime";"0.78";"1.46";"1.02"
