"characteristic";"Brazil"
".cifrao.n.cifrao.";"40"
".cifrao.Cum.sublinha.n.cifrao.";"11130"
".cifrao.TIP.cifrao.";"62498"
".barra.hat.abreChave..barra.alpha.fechaChave..sublinha..abreChave.obs.fechaChave.";"9.28"
".barra.hat.abreChave..barra.beta.fechaChave..sublinha..abreChave.obs.fechaChave.";"96.71"
".barra.hat.abreChave..barra.lambda.fechaChave..sublinha..abreChave.obs.fechaChave.";"1.21"
".cifrao.date.sublinha.0.cifrao.";"2020-02-26"
".cifrao.date.sublinha.m.cifrao.";"2020-04-17"
".cifrao.date.sublinha..abreChave.end.fechaChave..cifrao.";"2020-07-18"
"RMSE";"144.66"
"modellingTime";"1.02"
