"characteristic";"PE";"CE"
".cifrao.n.cifrao.";"31";"27"
".cifrao.Cum.sublinha.n.cifrao.";"816";"1676"
".cifrao.TIP.cifrao.";"7683916";"8644959"
".barra.hat.abreChave..barra.alpha.fechaChave..sublinha..abreChave.obs.fechaChave.";"2.84";"1.02"
".barra.hat.abreChave..barra.beta.fechaChave..sublinha..abreChave.obs.fechaChave.";"77.51";"18.69"
".barra.hat.abreChave..barra.lambda.fechaChave..sublinha..abreChave.obs.fechaChave.";"37.19";"22.41"
".cifrao.date.sublinha.0.cifrao.";"2020-03-12";"2020-03-17"
".cifrao.date.sublinha.m.cifrao.";"2020-07-16";"2020-11-06"
".cifrao.date.sublinha..abreChave.end.fechaChave..cifrao.";"2021-01-04";"2021-07-27"
"RMSE";"17.94";"43.34"
"modellingTime";"1";"0.92"
