"characteristic";"PE";"CE";"SP"
".cifrao.n.cifrao.";"31";"27";"46"
".cifrao.Cum.sublinha.n.cifrao.";"816";"1676";"8419"
".cifrao.TIP.cifrao.";"7683916";"8644959";"26263"
".barra.hat.abreChave..barra.alpha.fechaChave..sublinha..abreChave.obs.fechaChave.";"2.84";"1.02";"9.77"
".barra.hat.abreChave..barra.beta.fechaChave..sublinha..abreChave.obs.fechaChave.";"77.51";"18.69";"99.59"
".barra.hat.abreChave..barra.lambda.fechaChave..sublinha..abreChave.obs.fechaChave.";"37.19";"22.41";"0.31"
".cifrao.date.sublinha.0.cifrao.";"2020-03-12";"2020-03-17";"2020-02-26"
".cifrao.date.sublinha.m.cifrao.";"2020-07-16";"2020-11-06";"2020-04-16"
".cifrao.date.sublinha..abreChave.end.fechaChave..cifrao.";"2021-01-04";"2021-07-27";"2020-07-07"
"RMSE";"17.94";"43.34";"160.2"
"modellingTime";"1";"0.92";"1.12"
