"characteristic";"PE";"CE";"SP";"RJ";"DF";"BA"
".cifrao.n.cifrao.";"32";"28";"47";"39";"37";"38"
".cifrao.Cum.sublinha.n.cifrao.";"960";"1800";"8755";"2855";"614";"673"
".cifrao.TIP.cifrao.";"453865";"33875";"24712";"5839187";"9257174";"3138536"
".barra.hat.abreChave..barra.alpha.fechaChave..sublinha..abreChave.obs.fechaChave.";"5.61";"2.21";"9.68";"2.14";"1.02";"2.23"
".barra.hat.abreChave..barra.beta.fechaChave..sublinha..abreChave.obs.fechaChave.";"63.68";"18.07";"98.63";"16";"6.49";"6.87"
".barra.hat.abreChave..barra.lambda.fechaChave..sublinha..abreChave.obs.fechaChave.";"16";"3.18";"6e-02";"17.56";"21.05";"13.25"
".cifrao.date.sublinha.0.cifrao.";"2020-03-12";"2020-03-17";"2020-02-26";"2020-03-05";"2020-03-07";"2020-03-06"
".cifrao.date.sublinha.m.cifrao.";"2020-06-19";"2020-05-31, 2020-06-01, 2020-06-02, 2020-06-03, 2020-06-04, 2020-06-05, 2020-06-06";"2020-04-15";"2020-10-31";"2021-04-12";"2021-02-17, 2021-02-18"
".cifrao.date.sublinha..abreChave.end.fechaChave..cifrao.";"2020-11-27";"2021-02-13";"2020-07-06";"2021-07-27";"2021-10-18";"2021-10-08"
"RMSE";"18.26";"39.82";"164.01";"33.29";"11.92";"10"
"modellingTime";"1.15";"0.86";"1.17";"0.9";"1.05";"1.03"
