"characteristic";"PE";"CE";"SP";"RJ";"DF";"BA";"AM";"MA"
".cifrao.n.cifrao.";"35";"30";"50";"42";"40";"41";"32";"26"
".cifrao.Cum.sublinha.n.cifrao.";"1484";"2157";"11043";"3743";"682";"807";"1554";"630"
".cifrao.TIP.cifrao.";"6267467";"2994610";"119755";"916836";"7943902";"2493056";"8965815";"2216414"
".barra.hat.abreChave..barra.alpha.fechaChave..sublinha..abreChave.obs.fechaChave.";"2.93";"1.76";"4.22";"1.71";"1.3";"2.17";"2.47";"4.01"
".barra.hat.abreChave..barra.beta.fechaChave..sublinha..abreChave.obs.fechaChave.";"36.74";"7.48";"57.55";"26.83";"1.29";"4.74";"7.04";"19.27"
".barra.hat.abreChave..barra.lambda.fechaChave..sublinha..abreChave.obs.fechaChave.";"24.25";"11.48";"11.85";"18.28";"13.18";"11.02";"11.62";"9.58"
".cifrao.date.sublinha.0.cifrao.";"2020-03-12";"2020-03-17";"2020-02-26";"2020-03-05";"2020-03-07";"2020-03-06";"2020-03-15";"2020-03-21"
".cifrao.date.sublinha.m.cifrao.";"2020-08-28";"2021-01-16, 2021-01-17";"2020-05-17, 2020-05-18";"2020-08-17";"2021-10-05";"2021-04-01, 2021-04-02";"2021-02-11";"2020-09-15"
".cifrao.date.sublinha..abreChave.end.fechaChave..cifrao.";"2021-04-13";"2021-10-10";"2020-10-21";"2021-04-17";"2021-10-27";"2021-10-21";"2021-10-18";"2021-06-17"
"RMSE";"21.4";"40.05";"226.33";"39.92";"10.95";"9.97";"31.02";"18.12"
"modellingTime";"1";"0.97";"1.25";"0.98";"1.1";"1.13";"0.86";"0.72"
