"date"	"target"	"forecasts"
"2020-01-22"	1	0
"2020-01-23"	0	0
"2020-01-24"	1	0
"2020-01-25"	0	0
"2020-01-26"	3	0
"2020-01-27"	0	0
"2020-01-28"	0	0
"2020-01-29"	1	0
"2020-01-30"	0	0
"2020-01-31"	2	0
"2020-02-01"	0	0
"2020-02-02"	0	0
"2020-02-03"	3	0
"2020-02-04"	0	0
"2020-02-05"	0	0
"2020-02-06"	1	0
"2020-02-07"	0	0
"2020-02-08"	0	0
"2020-02-09"	0	0
"2020-02-10"	0	0
"2020-02-11"	1	0
"2020-02-12"	0	0
"2020-02-13"	1	0
"2020-02-14"	0	0
"2020-02-15"	0	0
"2020-02-16"	0	0
"2020-02-17"	0	0
"2020-02-18"	0	0
"2020-02-19"	0	0
"2020-02-20"	0	0
"2020-02-21"	2	0
"2020-02-22"	0	0
"2020-02-23"	0	0
"2020-02-24"	0	0
"2020-02-25"	0	0
"2020-02-26"	0	0
"2020-02-27"	1	0
"2020-02-28"	0	0
"2020-02-29"	8	0
"2020-03-01"	7	0
"2020-03-02"	23	0
"2020-03-03"	19	0
"2020-03-04"	33	0
"2020-03-05"	77	0
"2020-03-06"	53	0
"2020-03-07"	166	0
"2020-03-08"	116	0
"2020-03-09"	75	0
"2020-03-10"	188	0
"2020-03-11"	365	0
"2020-03-12"	439	0
"2020-03-13"	633	0
"2020-03-14"	759	0
"2020-03-15"	234	0
"2020-03-16"	1467	0
"2020-03-17"	1833	0
"2020-03-18"	2657	0
"2020-03-19"	4494	0
"2020-03-20"	6367	0
"2020-03-21"	5995	0
"2020-03-22"	8873	0
"2020-03-23"	11238	0
"2020-03-24"	10619	0
"2020-03-25"	12082	0
"2020-03-26"	17856	0
"2020-03-27"	18690	0
"2020-03-28"	19630	0
"2020-03-29"	18899	0
"2020-03-30"	22075	0
"2020-03-31"	26314	0
"2020-04-01"	32286	0
"2020-04-02"	32222	0
"2020-04-03"	32307	0
"2020-04-04"	32386	0
"2020-04-05"	29895	0
"2020-04-06"	31390	0
"2020-04-07"	30779	0
"2020-04-08"	31235	0
"2020-04-09"	35942	0
"2020-04-10"	34403	0
"2020-04-11"	29083	0
"2020-04-12"	27256	0
"2020-04-13"	26939	0
"2020-04-14"	28818	0
"2020-04-15"	25408	0
"2020-04-16"	30002	0
"2020-04-17"	33066	0
"2020-04-18"	27907	0
"2020-04-19"	26062	0
"2020-04-20"	29820	0
"2020-04-21"	25926	0
"2020-04-22"	28911	0
"2020-04-23"	33612	1
"2020-04-24"	32327	1
"2020-04-25"	30380	1
"2020-04-26"	26488	1
"2020-04-27"	23715	2
"2020-04-28"	24575	2
"2020-04-29"	26459	3
"2020-04-30"	29205	4
"2020-05-01"	34907	6
"2020-05-02"	27348	7
"2020-05-03"	24321	10
"2020-05-04"	24068	12
"2020-05-05"	24528	16
"2020-05-06"	24569	21
"2020-05-07"	27429	26
"2020-05-08"	26830	34
"2020-05-09"	25176	43
"2020-05-10"	18805	54
"2020-05-11"	19298	67
"2020-05-12"	22927	84
"2020-05-13"	20433	105
"2020-05-14"	26817	129
"2020-05-15"	24733	159
"2020-05-16"	24135	196
"2020-05-17"	18388	239
"2020-05-18"	22389	291
"2020-05-19"	20979	353
"2020-05-20"	22725	426
"2020-05-21"	25769	512
"2020-05-22"	23649	613
"2020-05-23"	21099	731
"2020-05-24"	20077	868
"2020-05-25"	18662	1028
"2020-05-26"	19663	1212
"2020-05-27"	18551	1425
"2020-05-28"	22320	1668
"2020-05-29"	24478	1946
"2020-05-30"	23632	2262
"2020-05-31"	18983	2621
"2020-06-01"	17414	3026
"2020-06-02"	21502	3482
"2020-06-03"	19857	3993
"2020-06-04"	21658	4565
"2020-06-05"	25403	5201
"2020-06-06"	21142	5907
"2020-06-07"	17928	6688
"2020-06-08"	17616	7549
"2020-06-09"	18383	8494
"2020-06-10"	21111	9529
"2020-06-11"	23166	10657
"2020-06-12"	24828	11884
"2020-06-13"	25212	13213
